n_episodes,n_simulations,t_max,c,gamma,alpha,beta,noise,n_points,final_features,bic,mse
1000,40,15,0.5,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,40,15,0.5,0.005,0.5,0.1,0.0,1000,exp(x) + (x * x) + y + x,-3500.779446056989,0.7285027571004477
1000,40,15,0.5,0.005,1.0,0.0,0.0,500,exp(x) + sin(y) + exp(cos(cos(cos(x)))) + x + (sin((x * exp(x))) * (x * exp(y))),-1779.2218540954052,0.6849807651835743
1000,40,15,0.5,0.005,1.0,0.0,0.0,1000,exp(x) + (x * x) + x,-3500.779446056989,0.7285027571004477
1000,40,15,0.5,0.005,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,40,15,0.5,0.005,1.0,0.1,0.0,1000,exp(x) + (x * x) + y + x,-3500.779446056989,0.7285027571004477
1000,40,15,1.0,0.001,0.5,0.0,0.0,500,exp(x) + cos(x) + y,-1549.5698051497404,0.6376250781909009
1000,40,15,1.0,0.001,0.5,0.0,0.0,1000,exp(x) + cos(y) + y,-2998.8148934446053,0.6626610485080495
1000,40,15,1.0,0.001,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,40,15,1.0,0.001,0.5,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
1000,40,15,1.0,0.001,1.0,0.0,0.0,500,exp(x) + cos((x * sin(x))) + y + exp(sin(exp(exp(y)))) + (sin(exp(x)) * sin(sin(y))),-1549.5698051497404,0.6376250781909009
1000,40,15,1.0,0.001,1.0,0.0,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
1000,40,15,1.0,0.001,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,40,15,1.0,0.001,1.0,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
1000,40,15,1.0,0.005,0.5,0.0,0.0,500,exp(x) + y + sin(sin(exp(exp(y)))) + (y * cos(sin(exp(cos(x))))),-1549.5698051497404,0.6376250781909009
1000,40,15,1.0,0.005,0.5,0.0,0.0,1000,exp(x) + (x * x) + cos(exp(y)) + sin(x) + exp(cos(exp((x * exp(cos(cos(sin(x)))))))),-3506.131766587871,0.7285027571004477
